Feature,Prevalence,Coefficient (CD),Coefficient (UC),t Statistic (CD),t Statistic (UC),P Value (CD),P Value (UC),Q Value (CD),Q Value (UC),Minimum Q Value
Paraprevotella clara,0.119749216,-0.003312952,-0.000715951,-0.477112808,-0.095012404,0.634179452,0.924468908,0.790691437,0.996551801,0.790691437
Clostridium nexile,0.171159875,0.002379832,0.000464249,0.47314643,0.085307724,0.636997853,0.932163814,0.790691437,0.996551801,0.790691437
Burkholderiales bacterium 1 1 47,0.45830721,-0.003015884,0.00642305,-0.548761051,1.081359921,0.584224137,0.281779992,0.790691437,0.817161976,0.790691437
Parasutterella excrementihominis,0.475862069,0.002409614,0.002946436,0.490961484,0.552475094,0.624381236,0.581685883,0.790691437,0.996551801,0.790691437
Coprococcus comes,0.531661442,0.00144411,0.006024897,0.283123826,1.092395902,0.777586553,0.276922681,0.867308079,0.817161976,0.817161976
Alistipes unclassified,0.140438871,-0.004093819,-0.00960058,-0.412790521,-0.892774845,0.680522072,0.373826107,0.822297503,0.911260102,0.822297503
Haemophilus parainfluenzae,0.556112853,-0.002820727,0.004926143,-0.390037747,0.631033757,0.69722389,0.529259855,0.830938061,0.979693774,0.830938061
Roseburia unclassified,0.321630094,0.001540677,-0.003987117,0.374327136,-0.899345015,0.708844336,0.370332044,0.833371043,0.911260102,0.833371043
Bifidobacterium longum,0.628213166,-0.002118257,0.002968778,-0.258338359,0.333606999,0.796603589,0.739278423,0.877272307,0.996551801,0.877272307
Bacteroides vulgatus,0.912225705,-0.003924313,0.039367071,-0.104631036,0.964512298,0.916849286,0.33679559,0.971558382,0.887915648,0.887915648
Lachnospiraceae bacterium 1 1 57FAA,0.297805643,0.001281736,-0.003368477,0.218775307,-0.529772619,0.827209535,0.597282106,0.888484315,0.996551801,0.888484315
Roseburia intestinalis,0.627586207,-0.005218697,0.022184132,-0.220613703,0.867338197,0.825781055,0.3875474,0.888484315,0.911260102,0.888484315
Clostridium hathewayi,0.47460815,0.000569034,0.000213597,0.091959258,0.031889754,0.926889031,0.974614775,0.971558382,0.996551801,0.971558382
Bacteroides thetaiotaomicron,0.702821317,0.000682184,-0.001051557,0.032996544,-0.046748159,0.973734053,0.962794334,0.985606009,0.996551801,0.985606009
Veillonella unclassified,0.623824451,-0.000322902,0.001499333,-0.032313969,0.138638221,0.974277204,0.889976431,0.985606009,0.996551801,0.985606009
Bacteroides intestinalis,0.121003135,-8.11232E-05,-0.00159748,-0.017504699,-0.316942453,0.986064056,0.751856973,0.986064056,0.996551801,0.986064056
